"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YDTB4W44","conferencePaper","2009","Jentzsch, Anja; Zhao, Jun; Hassanzadeh, Oktie; Cheung, Kei-Hoi; Samwald, Matthias; Andersson, Bo","Linking open drug data","5th international conference on semantic systems, graz, austria, september 2-4, 2009. Proceedings","","","","http://i-semantics.tugraz.at/2009/triplification/05_TriplificationChallengeLODD.pdf","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","","","","","","","","","Verlag der Technischen Universität Graz","","","","","","","","","Citation Key: DBLP:conf/i-semantics/JentzschZHCSA09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 27 Sep 2022 09:57:16 +0200","","","https://dblp.org/rec/conf/i-semantics/JentzschZHCSA09.bib","","","Paschke, Adrian; Weigand, Hans; Behrendt, Wernher; Tochtermann, Klaus; Pellegrini, Tassilo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VX9A76CK","conferencePaper","2009","Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Lim, Lipyeow; Miller, Renée J.; Wang, Min","A framework for semantic link discovery over relational data","Proceedings of the 18th ACM conference on information and knowledge management, CIKM 2009, hong kong, china, november 2-6, 2009","","","10.1145/1645953.1646084","https://doi.org/10.1145/1645953.1646084","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","1027–1036","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/cikm/HassanzadehKLMW09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 27 Aug 2021 11:13:00 +0200","","","https://dblp.org/rec/conf/cikm/HassanzadehKLMW09.bib","","","Cheung, David Wai-Lok; Song, Il-Yeol; Chu, Wesley W.; Hu, Xiaohua; Lin, Jimmy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HBQCGI6","journalArticle","2009","Hassanzadeh, Oktie; Xin, Reynold; Miller, Renée J.; Kementsietsidis, Anastasios; Lim, Lipyeow; Wang, Min","Linkage query writer","Proc. VLDB Endow.","","","10.14778/1687553.1687599","http://www.vldb.org/pvldb/vol2/vldb09-1006.pdf","","2009","2023-12-30 21:23:31","2023-12-30 21:23:31","","1590–1593","","2","2","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/pvldb/HassanzadehXMKLW09 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/K862YI65/Hassanzadeh et al_2009_Linkage query writer.pdf","https://dblp.org/rec/journals/pvldb/HassanzadehXMKLW09.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2E68EH8Q","conferencePaper","2010","Xin, Reynold; Hassanzadeh, Oktie; Fritz, Christian; Sohrabi, Shirin; Yang, Yang; Zhao, Minghua; Miller, Renée J.","Publishing bibliographic data on the semantic web using BibBase","Proceedings of the ISWC 2010 posters & demonstrations track: Collected abstracts, shanghai, china, november 9, 2010","","","","https://ceur-ws.org/Vol-658/paper457.pdf","","2010","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","658","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/XinHFSYZM10 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:09 +0100","","; /Users/oktie/Zotero/storage/H7AUJSSC/Xin et al_2010_Publishing bibliographic data on the semantic web using BibBase.pdf","https://dblp.org/rec/conf/semweb/XinHFSYZM10.bib","","","Polleres, Axel; Chen, Huajun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSKMV2KN","conferencePaper","2010","Hassanzadeh, Oktie; Xin, Reynold; Fritz, Christian; Yang, Yang; Du, Jiang; Zhao, Minghua; Miller, Renée J.","BibBase triplified","Proceedings the 6th international conference on semantic systems, I-SEMANTICS 2010, graz, austria, september 1-3, 2010","","","10.1145/1839707.1839758","https://doi.org/10.1145/1839707.1839758","","2010","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","","","","","ACM international conference proceeding series","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/i-semantics/HassanzadehXFYDZM10 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 27 Sep 2022 09:57:16 +0200","","","https://dblp.org/rec/conf/i-semantics/HassanzadehXFYDZM10.bib","","","Paschke, Adrian; Henze, Nicola; Pellegrini, Tassilo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRML4LIE","conferencePaper","2010","Pu, Ken Q.; Hassanzadeh, Oktie; Drake, Richard; Miller, Renée J.","Online annotation of text streams with structured entities","Proceedings of the 19th ACM conference on information and knowledge management, CIKM 2010, toronto, ontario, canada, october 26-30, 2010","","","10.1145/1871437.1871446","https://doi.org/10.1145/1871437.1871446","","2010","2023-12-30 21:23:31","2023-12-30 21:23:31","","29–38","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/cikm/PuHDM10 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 03 Aug 2022 15:48:33 +0200","","","https://dblp.org/rec/conf/cikm/PuHDM10.bib","","","Huang, Jimmy X.; Koudas, Nick; Jones, Gareth J. F.; Wu, Xindong; Collins-Thompson, Kevyn; An, Aijun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFXKFP95","conferencePaper","2011","Hassanzadeh, Oktie; Duan, Songyun; Fokoue, Achille; Kementsietsidis, Anastasios; Srinivas, Kavitha; Ward, Michael Jeffrey","Helix: online enterprise data analytics","Proceedings of the 20th international conference on world wide web, WWW 2011, hyderabad, india, march 28 - april 1, 2011 (companion volume)","","","10.1145/1963192.1963295","https://doi.org/10.1145/1963192.1963295","","2011","2023-12-30 21:23:31","2023-12-30 21:23:31","","225–228","","","","","","","","","","","ACM","","","","","","","","","Citation Key: DBLP:conf/www/HassanzadehDFKSW11 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Wed, 29 Jul 2020 01:00:00 +0200","","","https://dblp.org/rec/conf/www/HassanzadehDFKSW11.bib","","","Srinivasan, Sadagopan; Ramamritham, Krithi; Kumar, Arun; Ravindra, M. P.; Bertino, Elisa; Kumar, Ravi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RXBYFCP","conferencePaper","2011","Hassanzadeh, Oktie; Yeganeh, Soheil Hassas; Miller, Renée J.","Linking semistructured data on the web","Proceedings of the 14th International Workshop on the Web and Databases 2011, WebDB 2011, Athens, Greece, June 12, 2011","","","","http://webdb2011.rutgers.edu/papers/Paper%2027/paper27-camera-ready.pdf","","2011","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","","","","","","","","","","","","","","","","","","Citation Key: DBLP:conf/webdb/HassanzadehYM11 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 20 Jan 2012 17:27:01 +0100","","","https://dblp.org/rec/conf/webdb/HassanzadehYM11.bib","","","Marian, Amélie; Vassalos, Vasilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VI9MKJGR","bookSection","2012","Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Lim, Lipyeow; Miller, Renée J.; Wang, Min","Semantic link discovery over relational data","Semantic search over the web","","","","https://doi.org/10.1007/978-3-642-25008-8_8","","2012","2023-12-30 21:23:31","2023-12-30 21:23:31","","193–223","","","","","","","Data-centric systems and applications","","","","Springer","","","","","","","","","Citation Key: DBLP:books/sp/12/HassanzadehKLMW12 DOI: 10.1007/978-3-642-25008-8\_8 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Thu, 14 Oct 2021 08:45:55 +0200","","","https://dblp.org/rec/books/sp/12/HassanzadehKLMW12.bib","","","Virgilio, Roberto De; Guerra, Francesco; Velegrakis, Yannis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHF3NH6L","conferencePaper","2012","Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Velegrakis, Yannis","Data management issues on the semantic web","IEEE 28th international conference on data engineering (ICDE 2012), washington, DC, USA (arlington, virginia), 1-5 april, 2012","","","10.1109/ICDE.2012.141","https://doi.org/10.1109/ICDE.2012.141","","2012","2023-12-30 21:23:31","2023-12-30 21:23:31","","1204–1206","","","","","","","","","","","IEEE Computer Society","","","","","","","","","Citation Key: DBLP:conf/icde/HassanzadehKV12 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 24 Mar 2023 00:00:00 +0100","","; /Users/oktie/Zotero/storage/CAM5ZPYC/Hassanzadeh et al_2012_Data management issues on the semantic web.pdf","https://dblp.org/rec/conf/icde/HassanzadehKV12.bib","","","Kementsietsidis, Anastasios; Salles, Marcos Antonio Vaz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36USVQAK","journalArticle","2011","Samwald, Matthias; Jentzsch, Anja; Bouton, Christopher; Kallesøe, Claus; Willighagen, Egon L.; Hajagos, Janos G.; Marshall, M. Scott; Prud'hommeaux, Eric; Hassanzadeh, Oktie; Pichler, Elgar; Stephens, Susie","Linked open drug data for pharmaceutical research and development","J. Cheminformatics","","","10.1186/1758-2946-3-19","https://doi.org/10.1186/1758-2946-3-19","","2011","2023-12-30 21:23:31","2023-12-30 21:23:31","","19","","","3","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/jcheminf/SamwaldJBKWHMPHPS11 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 09 Apr 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/A6CV7R7Q/Samwald et al_2011_Linked open drug data for pharmaceutical research and development.pdf","https://dblp.org/rec/journals/jcheminf/SamwaldJBKWHMPHPS11.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8HLLANV","conferencePaper","2012","Duan, Songyun; Fokoue, Achille; Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Srinivas, Kavitha; Ward, Michael Jeffrey","Instance-based matching of large ontologies using locality-sensitive hashing","The semantic web - ISWC 2012 - 11th international semantic web conference, boston, MA, USA, november 11-15, 2012, proceedings, part I","","","10.1007/978-3-642-35176-1\_4","https://doi.org/10.1007/978-3-642-35176-1_4","","2012","2023-12-30 21:23:31","2023-12-30 21:23:31","","49–64","","","7649","","","","Lecture notes in computer science","","","","Springer","","","","","","","","","Citation Key: DBLP:conf/semweb/DuanFHKSW12 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Tue, 07 Sep 2021 13:47:37 +0200","","; /Users/oktie/Zotero/storage/JNEXCKHC/Duan et al_2012_Instance-based matching of large ontologies using locality-sensitive hashing.pdf","https://dblp.org/rec/conf/semweb/DuanFHKSW12.bib","","","Cudré-Mauroux, Philippe; Heflin, Jeff; Sirin, Evren; Tudorache, Tania; Euzenat, Jérôme; Hauswirth, Manfred; Parreira, Josiane Xavier; Hendler, Jim; Schreiber, Guus; Bernstein, Abraham; Blomqvist, Eva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WYVQ5N4","conferencePaper","2013","Ellis, Jason B.; Hassanzadeh, Oktie; Srinivas, Kavitha; Ward, Michael Jeffrey","Collective ontology alignment","Proceedings of the 8th international workshop on ontology matching co-located with the 12th international semantic web conference (ISWC 2013), sydney, australia, october 21, 2013","","","","https://ceur-ws.org/Vol-1111/om2013_poster1.pdf","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","219–220","","","1111","","","","CEUR workshop proceedings","","","","CEUR-WS.org","","","","","","","","","Citation Key: DBLP:conf/semweb/EllisHSW13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 10 Mar 2023 16:23:09 +0100","","; /Users/oktie/Zotero/storage/6IAX8BZH/Ellis et al_2013_Collective ontology alignment.pdf","https://dblp.org/rec/conf/semweb/EllisHSW13.bib","","","Shvaiko, Pavel; Euzenat, Jérôme; Srinivas, Kavitha; Mao, Ming; Jiménez-Ruiz, Ernesto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBJ3QQ98","journalArticle","2013","Hassanzadeh, Oktie; Kementsietsidis, Anastasios; Kimelfeld, Benny; Krishnamurthy, Rajasekar; Ozcan, Fatma; Pandis, Ippokratis","Next generation data analytics at IBM research","Proc. VLDB Endow.","","","10.14778/2536222.2536246","http://www.vldb.org/pvldb/vol6/p1174-hassanzadeh.pdf","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","1174–1175","","11","6","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/pvldb/HassanzadehKKKOP13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Thu, 14 Oct 2021 01:00:00 +0200","","; /Users/oktie/Zotero/storage/PNS9ANY7/Hassanzadeh et al_2013_Next generation data analytics at IBM research.pdf","https://dblp.org/rec/journals/pvldb/HassanzadehKKKOP13.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ97R3PL","journalArticle","2013","Hassanzadeh, Oktie; Pu, Ken Q.; Yeganeh, Soheil Hassas; Miller, Renée J.; Popa, Lucian; Hernández, Mauricio A.; Ho, Howard","Discovering linkage points over web data","Proc. VLDB Endow.","","","10.14778/2536336.2536345","http://www.vldb.org/pvldb/vol6/p445-hassanzadeh.pdf","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","444–456","","6","6","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/pvldb/HassanzadehPYMPHH13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Sat, 25 Apr 2020 01:00:00 +0200","","; /Users/oktie/Zotero/storage/B2ZESS8D/Hassanzadeh et al_2013_Discovering linkage points over web data.pdf","https://dblp.org/rec/journals/pvldb/HassanzadehPYMPHH13.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E48BRQXL","thesis","2013","Hassanzadeh, Oktie","Record linkage for web data","","","","","http://hdl.handle.net/1807/36281","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","","","","","","","","","","","","University of Toronto, Canada","","","","phd","","","","","Citation Key: DBLP:phd/ca/Hassanzadeh13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Fri, 29 Jul 2022 01:00:00 +0200","","; /Users/oktie/Zotero/storage/8LTDFQCE/Hassanzadeh_2013_Record linkage for web data.pdf","https://dblp.org/rec/phd/ca/Hassanzadeh13.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6Z7A3EP","journalArticle","2013","Xin, Reynold S.; Hassanzadeh, Oktie; Fritz, Christian; Sohrabi, Shirin; Miller, Renée J.","Publishing bibliographic data on the Semantic Web using BibBase","Semantic Web","","","10.3233/SW-2012-0062","https://doi.org/10.3233/SW-2012-0062","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","15–22","","1","4","","","","","","","","","","","","","","","","","Citation Key: DBLP:journals/semweb/XinHFSM13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Mon, 28 Aug 2023 01:00:00 +0200","","; /Users/oktie/Zotero/storage/4RFBM9XS/Xin et al_2013_Publishing bibliographic data on the Semantic Web using BibBase.pdf","https://dblp.org/rec/journals/semweb/XinHFSM13.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"379NDLA8","journalArticle","2013","Boyce, Richard D.; Horn, John R.; Hassanzadeh, Oktie; de Waard, Anita; Schneider, Jodi; Luciano, Joanne S.; Rastegar-Mojarad, Majid; Liakata, Maria","Dynamic enhancement of drug product labels to support drug safety, efficacy, and effectiveness","","","","10.1186/2041-1480-4-5","https://doi.org/10.1186/2041-1480-4-5","","2013","2023-12-30 21:23:31","2023-12-30 21:23:31","","5","","","4","","J. Biomed. Semant.","","","","","","","","","","","","","","","Citation Key: DBLP:journals/biomedsem/BoyceHHWSLRL13 tex.bibsource: dblp computer science bibliography, https://dblp.org tex.timestamp: Thu, 13 Aug 2020 01:00:00 +0200","","; /Users/oktie/Zotero/storage/5JLRINQ8/Boyce et al_2013_Dynamic enhancement of drug product labels to support drug safety, efficacy,.pdf","https://dblp.org/rec/journals/biomedsem/BoyceHHWSLRL13.bib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
